nummer,naam,prijs
1,Kippensoep,"3,50"
2,Tomatensoep,"3,50"
3,Haaienvinnensoep,"3,50"
4,Champignonsoep,"4,00"
8,Wan tan soep,"5,50"
10,Kroepoek,"3,50"
11,Loempia,"6,00"
12,Loempia Diamant,"12,00"
13,Frites,"3,50"
14,Mini loempia’s (8 stuks),"5,00"
16,Saté ajam,"6,50"
17,Satésaus,"3,00"
18,Pikante saus,"3,00"
19,Atjar,"2,50"
20,Witte rijst,"3,50"
21,Pangsit goreng,"4,50"
22,Gebakken banaan (4 stuks),"4,50"
23,Kip dumplings,"6,50"
24,Kippenpootje,"4,00"
25,Kali kok,"5,00"
26,Gepaneerde garnaal,"8,00"
27,Nasi compleet,"21,00"
28,Nasi Diamant,"21,00"
29,"Nasi met ei, ham & vlees","6,50"
30,Nasi speciaal,"13,00"
31,Nasi kip & groenten,"12,50"
32,Nasi varkensvlees & groenten,"12,50"
33,Nasi rundvlees & groenten,"15,50"
34,Nasi garnalen & groenten,"16,50"
36,Hay you fan,"17,50"
38,Koe you fan,"17,50"
41,Tjap you fan,"17,50"
42,Foe you fan,"17,50"
43,Tjap fang,"14,00"
44,Bami compleet,"21,00"
45,Bami Diamant,"21,00"
46,"Bami met ei, ham & vlees","6,50"
47,Bami speciaal,"13,00"
48,Bami kip & groenten,"12,50"
49,Bami varkensvlees & groenten,"12,50"
50,Bami rundvlees & groenten,"15,50"
51,Bami garnalen & groenten,"16,50"
53,Hay you mien,"17,50"
55,Koe you mien,"17,50"
58,Tjap you mien,"17,50"
59,Foe you mien,"17,50"
61,Mihoen varkensvlees,"14,00"
62,Mihoen kip,"14,00"
64,Mihoen rundvlees,"16,50"
65,Mihoen garnalen,"17,50"
66,Mihoen Diamant,"22,50"
67,Mihoen Singapore,"15,50"
68,Chinese bami varkensvlees,"14,00"
69,Chinese bami kip,"14,00"
70,Chinese bami rundvlees,"16,50"
71,Chinese bami garnalen,"17,50"
72,Tjap tjoy varkensvlees,"15,00"
73,Tjap tjoy kip,"15,00"
74,Tjap tjoy rundvlees,"18,00"
75,Tjap tjoy garnalen,"18,50"
77,Foe yong hai varkensvlees,"15,00"
78,Foe yong hai kip,"15,00"
79,Foe yong hai garnalen,"18,50"
81,Babi pangang,"17,00"
82,Babi pangang spek,"18,50"
84,Babi ketjap,"17,00"
85,Varkensvlees met champignons,"16,00"
86,Varkensvlees met ananas,"16,00"
87,Varkensvlees met kerrie,"16,00"
90,Varkensvlees met paprika,"16,00"
94,Kon po yuk,"17,00"
97,Tau sie yuk,"16,00"
98,Tja siu,"17,50"
100,Ajam pangang,"15,00"
103,Kip met champignons,"16,00"
104,Kip met ananas,"16,00"
105,Kip met kerrie,"16,00"
106,Kip in pikante saus,"16,00"
107,Kip met paprika,"16,00"
109,Kip met soyaboon,"16,00"
110,Kip met knoflook,"16,00"
111,Kip in ketjap,"16,00"
112,Koe loe kai,"16,00"
115,Kon po kai,"17,00"
117,Ossenhaas met champignons,"18,50"
118,Ossenhaas met kerrie,"18,50"
119,Ossenhaas in oestersaus,"18,50"
120,Ossenhaas met soyaboon,"18,50"
121,Ossenhaas met paprika,"18,50"
122,Szechuan bief,"19,00"
123,Garnalen met champignons,"18,50"
124,Garnalen met kerrie,"18,50"
125,Garnalen in oestersaus,"18,50"
127,Garnalen met paprika,"18,50"
128,Kon po ha,"19,50"
132,Peking eend,"18,50"
133,Pa po ap,"19,50"
138,Gado gado,"10,50"
140,Tongfilet met knoflook,"19,50"
141,Tongfilet met ananas,"19,50"
143,Kai pad ped,"16,50"
145,Kai tod prik thai,"16,50"
146,Moo pad ped,"16,50"
148,Moo tod prik thai,"16,50"
149,Bangkok gah,"21,00"
150,Thaise rijst,"14,00"
